#required for behaviour.xml
first=Link
last=
label=Link
gender=male
size=medium
#Number of phases to "finish"
timer=16

#required for meta.xml
#start picture
pic=0-calm
height=5'9"
articles=8
from=Legend of Zelda
writer=josephkantel
artist=josephkantel
description=One of many Links throughout the ages

#Links Clothing:
clothes=Gloves,gloves,extra,other
clothes=Boots,boots,minor,other
clothes=Hat,hat,minor,other
clothes=Tunic,tunic,major,upper
clothes=Shirt,shirt,important,upper
clothes=Pants,pants,major,lower
clothes=Boxers,boxers,important,lower

#starting picture and text
start=0-calm,HYAAAAAH!

##individual behaviour
#entries without a number are used when there are no stage-specific entries

#default card behaviour
#you can include multiple entries to give the character multiple lines and/or appearances in that situation.
#This is what a character says while they're exchanging cards.
swap_cards=calm,Yaah. (~cards~ cards)
swap_cards=calm,Hyoo. (~cards~ cards)
swap_cards=calm,Kyoo... (~cards~ cards)

#The character thinks they have a good hand
good_hand=happy,YAAAH!
good_hand=happy,CHEEEYA!
good_hand=happy,HIYAAAH!

#The character thinks they have a bad hand
okay_hand=calm,Hyo.
okay_hand=calm,Hya.
okay_hand=calm,Dyo.

#The character thinks they have a bad hand
bad_hand=sad,Gah...
bad_hand=sad,Naaa...
bad_hand=sad,Huu..

#stripping default
#This is the character says once they've lost a hand, but before they strip
must_strip_winning=calm,Hyaah...
must_strip_normal=stunned,Gah...
must_strip_losing=shocked,GAH...
stripping=strip,...
stripped=stripped,...

#masturbation
#these situations relate to when the character is masturbating
#these only come up in the relevant stages, so you don't need to include the stage numbers here
#just remember which stage is which when you make the images
must_masturbate_first=nervous,I-I'm... not sure I'm comfortable with this...
must_masturbate=nervous,At least I'm not the first...
start_masturbating=starting,Well... I did get myself into this...
masturbating=calm,Just like swinging a sword...
masturbating=nervous,I should take my time... don't want to make this a "speedrun"...
masturbating=happy,People watch me all the time... I'm just not usually doing this...
heavy_masturbating=heavy,...
finishing_masturbating=finishing,HYAAAAAAAAAAH!!!
finished_masturbating=finished,T-That... was exciting...
#I don't think this line is actually used by the game.
game_over_defeat=happy,C-Congratulations ~name~, I hope everyone had fun!
game_over_victory=victory,HIYAAAA-- W-Wait... I won!?

#situations where a male character is stripping
male_human_must_strip=calm,...
male_must_strip=awkward,...

male_removing_accessory=calm,Gah...
male_removed_accessory=calm,Cheeeya!
male_removing_minor=awkward,Gah...
male_removed_minor=angry,Cheeeya!
male_removing_major=awkward,Gah...
male_removed_major=angry,Cheeeya!

male_chest_will_be_visible=angry,Gah...
male_chest_is_visible=awkward,Hyaa...

#male crotches have different sizes, allowing your character to have different responses
male_crotch_will_be_visible=awkward,Gah...
male_small_crotch_is_visible=calm,Uhh...
male_medium_crotch_is_visible=awkward,Uhh...
male_large_crotch_is_visible=shocked,Hyuhh...

#male masturbation default
male_must_masturbate=stunned,...
male_start_masturbating=awkward,Hyuhh...
male_masturbating=awkward,Hyuhh...
male_finished_masturbating=shocked,...

#female stripping default
#these are mostly the same as the female stripping cases, but the female's size refers to their chest rather than their crotch.
female_human_must_strip=interested,Hyaaah!
female_must_strip=interested,Hyaaah!

female_removing_accessory=sad,Huu.
female_removed_accessory=calm,Yaah!

female_removing_minor=calm,Huu.
female_removed_minor=happy,Yaah!

female_removing_major=interested,Yaah!
female_removed_major=interested,HYAAAH!

female_chest_will_be_visible=interested,Yaaaaah!
female_small_chest_is_visible=interested,Deeeeyoooo!
female_medium_chest_is_visible=horny,Deeeeyoooo!
female_large_chest_is_visible=shocked,DEEEEEYOOOOO!

female_crotch_will_be_visible=horny,YAAAAAAH!
female_crotch_is_visible=shocked,...

#female masturbation default
female_must_masturbate=interested,...
female_start_masturbating=horny,Cheeeya...
female_masturbating=horny,Huu...
female_finished_masturbating=shocked,HYAAAAH!




#These responses are stage specific.
#Refer to the above entries to see what sort of situations these refer to, and what the default images are.
